# ============================================================
#  BAC SSC — Datos del lote diario
#  Operaciones SWIFT urgentes (cierre 11:00 a.m.)
# ============================================================

set ANALISTAS  := A B C D E;
set OPERACIONES := MT103 MT202 MT700 MT760 MT940;

# ---- Tiempos de procesamiento (minutos) --------------------
# Celdas bloqueadas se ponen en 999 (valor grande, nunca elegido
# por el solver gracias a la restricción de disponibilidad)

param tiempo :
           MT103  MT202  MT700  MT760  MT940 :=
  A          25     30    999    999     20
  B          35     28     40     45     22
  C          40     45     35     30     25
  D          30     32     50    999     18
  E         999    999     30     28     30 ;

# ---- Disponibilidad (compliance Bridger) -------------------
# 1 = puede ejecutar | 0 = BLOQUEADO

param disponible :
           MT103  MT202  MT700  MT760  MT940 :=
  A          1      1      0      0      1
  B          1      1      1      1      1
  C          1      1      1      1      1
  D          1      1      1      0      1
  E          0      0      1      1      1 ;
